model,band,count,mean_weighted_R,median_weighted_R,q05_weighted_R,q95_weighted_R,mean_odd_weighted_R,mean_even_weighted_R
genuine,q>=100000,1,0.6095238095238074,0.6095238095238074,0.6095238095238074,0.6095238095238074,0.6095238095238074,0.0
genuine,q=10000..99999,1,1.7707997221254876,1.7707997221254876,1.7707997221254876,1.7707997221254876,0.988950580367657,0.7818491417578306
genuine,q=1000..9999,1,-5.191738519831322,-5.191738519831322,-5.191738519831322,-5.191738519831322,-6.516629659666097,1.324891139834775
genuine,q=100..999,1,23.604498967653843,23.604498967653843,23.604498967653843,23.604498967653843,17.26727251293261,6.337226454721233
genuine,q=20..99,1,30.546437145077153,30.546437145077153,30.546437145077153,30.546437145077153,16.642239039642888,13.90419810543426
genuine,q=10..19,1,-10.605078703792566,-10.605078703792566,-10.605078703792566,-10.605078703792566,3.8014876471159176,-14.406566350908484
genuine,q=5..9,1,-4.674222962154149,-4.674222962154149,-4.674222962154149,-4.674222962154149,6.497492942857674,-11.171715905011823
genuine,q=2..4,1,-10.412427540301325,-10.412427540301325,-10.412427540301325,-10.412427540301325,1.4284649284954178,-11.840892468796742
genuine,q=1,1,-27.30188858611122,-27.30188858611122,-27.30188858611122,-27.30188858611122,-10.26784029580919,-17.034048290302035
genuine,d>n,1,21.19308074563345,21.19308074563345,21.19308074563345,21.19308074563345,-9.031562713565915,30.224643459199363
uniform,q>=100000,100,0.30952380952380737,0.6095238095238074,-0.39047619047619264,1.6095238095238074,0.30952380952380737,0.0
uniform,q=10000..99999,100,0.8914663887921543,0.8374663887921543,-3.032533611207846,3.8141330554588184,0.958950580367657,-0.06748419157550274
uniform,q=1000..9999,100,2.089594813502011,1.8749281468353445,-9.53173851983132,15.818261480168678,3.751370340333904,-1.661775526831892
uniform,q=100..999,100,2.8358323009871778,0.7044989676538429,-18.472167699012825,25.671165634320502,10.48327251293261,-7.647440211945433
uniform,q=20..99,100,2.0631038117438143,1.7464371450771472,-22.66689618825618,23.79977047841048,10.95357237297622,-8.89046856123241
uniform,q=10..19,100,-0.4684120371259003,-1.0384120371259002,-15.481745370459233,14.454921296207425,4.778154313782585,-5.246566350908484
uniform,q=5..9,100,0.8977770378458517,1.2257770378458512,-13.857556295487482,15.569110371179184,7.176826276191005,-6.279049238345156
uniform,q=2..4,100,1.9235724596986765,1.2209057930320093,-15.429094206967992,21.427572459698673,10.621798261828753,-8.698225802130075
uniform,q=1,100,0.646778080555442,0.1647780805554404,-14.658555252777893,16.648111413888778,8.894159704190812,-8.247381623635368
uniform,d>n,100,113.87574741230011,95.75974741230011,51.129747412300105,193.92974741230012,465.1751039531007,-351.29935654080066
independent_square,q>=100000,100,0.3895238095238074,0.6095238095238074,-0.39047619047619264,1.6095238095238074,0.3895238095238074,0.0
independent_square,q=10000..99999,100,0.8541330554588208,0.8374663887921543,-2.3258669445411786,4.637466388792154,0.958950580367657,-0.10481752490883604
independent_square,q=1000..9999,100,1.779594813502011,2.541594813502011,-11.915071853164656,14.274928146835345,3.469370340333904,-1.6897755268318917
independent_square,q=100..999,100,4.678498967653843,5.337832300987176,-17.038834365679488,26.5411656343205,12.337272512932607,-7.658773545278765
independent_square,q=20..99,100,0.12243714507714752,-1.153562854922853,-24.39022952158952,27.056437145077144,11.749572372976225,-11.627135227899075
independent_square,q=10..19,100,0.9102546295407669,1.8615879628740999,-20.461745370459234,21.921587962874096,6.735487647115916,-5.825233017575149
independent_square,q=5..9,100,0.31711037117918517,0.7591103711791867,-14.24755629548748,14.625777037845847,6.770826276191007,-6.453715905011823
independent_square,q=2..4,100,-0.1250942069679902,-1.4790942069679895,-17.93909420696799,22.13757245969867,9.988464928495418,-10.113559135463408
independent_square,q=1,100,0.31011141388877494,0.9647780805554409,-16.545221919444558,16.624778080555437,9.347493037524144,-9.037381623635369
independent_square,d>n,100,112.67374741230009,96.49308074563343,55.62641407896675,211.74308074563328,478.5757706197674,-365.90202320746727
