n,cutoff,M_extrapolated,margin_1_minus_M,fit_a_over_G,fit_b_over_G2,richardson_12,richardson_23,seconds,grid_1,M_grid_1,grid_2,M_grid_2,grid_3,M_grid_3,E1_extrapolated,E2_extrapolated,E3_extrapolated,E4_extrapolated,E5_extrapolated,E6_extrapolated,E7_extrapolated,E8_extrapolated,E9_extrapolated,iteration,role
32200000000000000000000000,400000000,0.9999974776027355,2.522397264503873e-06,-0.02817836048780024,75598.68007405603,0.9999969275499436,0.9999973400895376,41.09754789998988,262144,0.9999984702164046,524288,0.9999976988831741,1048576,0.9999975194863558,3.834518830252978,7.250643619761798,8.94484503875805,7.949867357908424,5.322041362383391,2.751907616799777,1.1188379998505948,0.3628890456408598,0.09506188646857679,0,lo
32400000000000000000000000,400000000,1.000006621968952,-6.621968952069679e-06,0.4961420289473608,-52946.965372721344,1.0000070072088278,1.000006718278921,36.52464230003534,262144,1.0000077441208415,524288,1.0000073756648347,1048576,1.0000070469718778,3.8346242486300754,7.251047854070361,8.945609335065665,7.9508077149276115,5.32287120161928,2.7524563671307227,1.1191167880400743,0.3629998104642748,0.09509679520682662,0,hi
32255168334355031828463616,400000000,0.9999998788895315,1.211104685427955e-07,0.1975272202398626,30444.045247395872,0.9999996573799486,0.9999998235121357,35.288075199991,262144,1.000001075415244,524288,1.0000003663975963,1048576,1.000000094954866,3.834547975400234,7.250755377802486,8.945056326196285,7.950127066605612,5.322269916253627,2.752057934329069,1.118913686242782,0.3629187206087962,0.09507107414256685,0,mid
32255168334355031828463616,400000000,0.9999998788895315,1.211104685427955e-07,0.1975272202398626,30444.045247395872,0.9999996573799486,0.9999998235121357,35.288075199991,262144,1.000001075415244,524288,1.0000003663975963,1048576,1.000000094954866,3.834547975400234,7.250755377802486,8.945056326196285,7.950127066605612,5.322269916253627,2.752057934329069,1.118913686242782,0.3629187206087962,0.09507107414256685,1,lo
32400000000000000000000000,400000000,1.000006621968952,-6.621968952069679e-06,0.4961420289473608,-52946.965372721344,1.0000070072088278,1.000006718278921,36.52464230003534,262144,1.0000077441208415,524288,1.0000073756648347,1048576,1.0000070469718778,3.8346242486300754,7.251047854070361,8.945609335065665,7.9508077149276115,5.32287120161928,2.7524563671307227,1.1191167880400743,0.3629998104642748,0.09509679520682662,1,hi
32257769613354132916142080,400000000,0.9999999909244586,9.07554142948186e-09,0.2055039736442267,30067.445475260436,0.9999997721549998,0.9999999362320939,35.282939600001555,262144,1.0000012123988227,524288,1.0000004922769112,1048576,1.0000002142545026,3.83454934839067,7.2507606426011195,8.945066276057,7.950139263448006,5.322280592646308,2.752064909087071,1.1189171767716628,0.362920084460169,0.09507149665518341,1,mid
32257769613354132916142080,400000000,0.9999999909244586,9.07554142948186e-09,0.2055039736442267,30067.445475260436,0.9999997721549998,0.9999999362320939,35.282939600001555,262144,1.0000012123988227,524288,1.0000004922769112,1048576,1.0000002142545026,3.83454934839067,7.2507606426011195,8.945066276057,7.950139263448006,5.322280592646308,2.752064909087071,1.1189171767716628,0.362920084460169,0.09507149665518341,2,lo
32400000000000000000000000,400000000,1.000006621968952,-6.621968952069679e-06,0.4961420289473608,-52946.965372721344,1.0000070072088278,1.000006718278921,36.52464230003534,262144,1.0000077441208415,524288,1.0000073756648347,1048576,1.0000070469718778,3.8346242486300754,7.251047854070361,8.945609335065665,7.9508077149276115,5.32287120161928,2.7524563671307227,1.1191167880400743,0.3629998104642748,0.09509679520682662,2,hi
32257964276165972145995776,400000000,0.9999999991353405,8.646594551464659e-10,0.20579042995814234,30030.486206054688,0.9999997806347958,0.9999999445102044,36.12848130002385,262144,1.0000012211646205,524288,1.0000005008997082,1048576,1.0000002227049563,3.8345494511318536,7.25076103656727,8.94506702057263,7.950140175478296,5.322281389613799,2.752065428213216,1.1189174354812592,0.36292018499109646,0.09507152758567657,2,mid
32257964276165972145995776,400000000,0.9999999991353405,8.646594551464659e-10,0.20579042995814234,30030.486206054688,0.9999997806347958,0.9999999445102044,36.12848130002385,262144,1.0000012211646205,524288,1.0000005008997082,1048576,1.0000002227049563,3.8345494511318536,7.25076103656727,8.94506702057263,7.950140175478296,5.322281389613799,2.752065428213216,1.1189174354812592,0.36292018499109646,0.09507152758567657,3,lo
32400000000000000000000000,400000000,1.000006621968952,-6.621968952069679e-06,0.4961420289473608,-52946.965372721344,1.0000070072088278,1.000006718278921,36.52464230003534,262144,1.0000077441208415,524288,1.0000073756648347,1048576,1.0000070469718778,3.8346242486300754,7.251047854070361,8.945609335065665,7.9508077149276115,5.32287120161928,2.7524563671307227,1.1191167880400743,0.3629998104642748,0.09509679520682662,3,hi
32257982819970448409755648,400000000,0.9999999999939202,6.079803327452282e-12,0.20572955044917754,30046.06290690106,0.9999997813800401,0.9999999453404502,35.45437970000785,262144,1.0000012220176342,524288,1.0000005016988371,1048576,1.0000002235196437,3.834549460919072,7.250761074096835,8.945067091564136,7.950140262893444,5.322281466829538,2.75206547932814,1.1189174614832635,0.3629201953411583,0.09507153085748987,3,mid
