window,q_band,weighted_R_total,R_j1,R_j2,R_j3,R_j4,R_j5,weighted_R_j1,weighted_R_j2,weighted_R_j3,weighted_R_j4,weighted_R_j5
worst_passing,1,-1.6835948531584748,-7.09591719800007,-14.45910630650399,-21.01044655992169,-24.654882618869188,-18.20224759383887,-7.09591719800007,13.49516588607039,-16.80835724793735,14.792929571321512,-6.067415864612956
worst_passing,2,0.33875817567828337,5.745912467366901,20.567325112619375,24.25307039132175,7.159053739184007,-3.954024768372591,5.745912467366901,-19.196170105111417,19.4024563130574,-4.295432243510404,-1.3180082561241968
worst_passing,3,-0.22038288961659402,2.063106020863847,5.50625858842254,2.405806545388348,-5.037649897229688,-6.2746482078036845,2.063106020863847,-5.139174682527704,1.9246452363106785,3.0225899383378128,-2.091549402601228
worst_passing,4,-0.6785630997564106,-3.0852624593436397,-6.102479937726407,-4.581440411036986,-1.3510651871905637,-1.3033060973264998,-3.0852624593436397,5.69564794187798,-3.6651523288295893,0.8106391123143382,-0.4344353657754999
worst_passing,5,-0.6120627476858289,3.0983201940551774,6.685429791877651,2.577478005467823,-3.0464145763865638,-4.081438858584187,3.0983201940551774,-6.239734472419141,2.0619824043742585,1.8278487458319381,-1.3604796195280624
worst_passing,6,-0.643372707328442,5.003050744513778,17.796204574766268,19.94510801652995,7.66283966441094,-1.1850453899133058,5.003050744513778,-16.609790936448515,15.95608641322396,-4.597703798646564,-0.3950151299711019
worst_passing,7,-0.6472962726997858,-0.438231965272295,1.1024712397220355,0.41273807600208023,-2.2764874219200433,-2.6285221929218436,-0.438231965272295,-1.0289731570738998,0.3301904608016642,1.365892453152026,-0.8761740643072812
worst_passing,8,-0.4583351320740192,-0.9449346362457214,-2.7551532329877446,-5.316424739526159,-5.36733405735809,-3.15641246823236,-0.9449346362457214,2.571476350788562,-4.253139791620927,3.220400434414854,-1.0521374894107867
worst_passing,9,-0.4780653061439859,1.470091908582376,9.19967481911258,14.73843739497677,10.381877322012546,3.2297472810144705,1.470091908582376,-8.586363164505075,11.790749915981417,-6.229126393207527,1.0765824270048234
worst_passing,10,0.61746187615587,-2.2724234639566676,-7.202873189136776,-7.596149483794638,-5.141959939378121,-2.5231580390188446,-2.2724234639566676,6.722681643194324,-6.076919587035711,3.0851759636268725,-0.8410526796729482
worst_passing,11,-0.4140679106763009,0.03673626765244142,2.5012434182878183,3.1734111172468156,0.39847164760863407,-1.2478686794771527,0.03673626765244142,-2.3344938570686304,2.538728893797453,-0.23908298856518043,-0.41595622649238423
worst_passing,12,-0.26168268024856756,-0.7929698433721617,-0.10472352897879933,3.6107396442112307,5.710114863789943,2.9130672169450866,-0.7929698433721617,0.09774196038021271,2.888591715368985,-3.4260689182739656,0.9710224056483622
worst_passing,13,1.7632283047072743,2.4258647725427958,2.391261792270843,3.1499092531245223,1.0865234036324343,-0.8964164661086775,2.4258647725427958,-2.2318443394527865,2.519927402499618,-0.6519140421794606,-0.2988054887028925
worst_passing,14,-0.353835519373986,-0.42980713590899766,0.7212850551039844,1.5117462339545158,0.3411769900002688,-0.7665593755941633,-0.42980713590899766,-0.6731993847637188,1.2093969871636128,-0.20470619400016127,-0.25551979186472107
worst_passing,15,-0.3322031759652059,0.7588230893700003,0.1444689893251745,-3.033145358357049,-3.344628306652071,-1.6093477178119389,0.7588230893700003,-0.13483772337016287,-2.4265162866856396,2.0067769839912426,-0.5364492392706462
worst_passing,16,-0.18387750626172528,-1.1096042954885457,-3.5587395117113836,-4.712266387506943,-3.121984491427376,-1.4974230196640272,-1.1096042954885457,3.321490210930625,-3.769813110005554,1.8731906948564254,-0.49914100655467575
worst_passing,17,-0.12003044307419952,0.8717230023828688,0.412444607133442,-1.7290813003336014,-2.1239203220013363,-1.4936768951993291,0.8717230023828688,-0.38494829999121255,-1.3832650402668811,1.2743521932008017,-0.49789229839977633
worst_passing,18,0.7730225045478066,1.0977750007219622,-1.0904893457097593,-3.205678008500584,-2.7703836749795374,-1.3206910510715573,1.0977750007219622,1.0177900559957753,-2.5645424068004674,1.6622302049877224,-0.4402303503571857
worst_passing,19,-0.15296868695989974,0.16333437819759222,0.059269993058655324,-1.041866728672118,-1.6555314683637503,-1.2624297091499084,0.16333437819759222,-0.0553186601880783,-0.8334933829376944,0.9933188810182502,-0.42080990304996946
worst_passing,20,-0.2160106277035641,-1.8024345083428528,-3.858895425191368,-3.948556767113859,-2.5876199576585313,-1.2268152313300575,-1.8024345083428528,3.60163573017861,-3.1588454136910875,1.5525719745951188,-0.4089384104433525
worst_passing,21-50,0.15841994241185142,8.521516153696844,24.835387554842512,32.84926458457964,18.152926250302002,-1.713171232743484,8.521516153696844,-23.179695051186346,26.279411667663716,-10.8917557501812,-0.5710570775811613
worst_passing,51-100,3.900790808910875,6.292303469122082,3.098356806556822,3.403846351459002,1.2568243807060924,-4.406086280505157,6.292303469122082,-2.891799686119701,2.723077081167202,-0.7540946284236554,-1.4686954268350523
worst_passing,101-200,2.683445998024799,2.6715771362918694,-11.937167400511974,-23.20715996448734,-18.653489554514344,-11.26755941959094,2.6715771362918694,11.141356240477842,-18.565727971589872,11.192093732708607,-3.7558531398636466
worst_passing,201-500,0.6440539695732532,-10.237867160011909,-29.74500693009128,-35.077298502499616,-26.033138629537795,-13.31438914266904,-10.237867160011909,27.762006468085193,-28.061838801999695,15.619883177722677,-4.438129714223013
worst_passing,501-1000,-0.6702013468361052,6.493360855081683,0.31786539895675503,-18.86679056358542,-18.488548427483604,-8.599753305539931,6.493360855081683,-0.296674372359638,-15.093432450868335,11.093129056490161,-2.866584435179977
worst_passing,1001-2000,1.3409201178086625,-3.635894565539793,-16.267378529975062,-19.74985841000798,-12.587644531848976,-5.876315807193809,-3.635894565539793,15.182886627976725,-15.799886728006385,7.552586719109385,-1.9587719357312694
worst_passing,2001-5000,1.1293104877292772,-0.7411118628480864,-5.839529182616658,-14.041946044981088,-17.05777619068976,-7.742741294881507,-0.7411118628480864,5.450227237108881,-11.23355683598487,10.234665714413856,-2.5809137649605023
worst_passing,5001-10000,2.8435903892027774,-4.170797686962786,-8.453422505550591,-2.136376746889404,-2.758215760810579,-2.4639029639694376,-4.170797686962786,7.889861005180552,-1.7091013975115232,1.6549294564863473,-0.8213009879898125
