n,cutoff,M_extrapolated,margin_1_minus_M,fit_a_over_G,fit_b_over_G2,richardson_12,richardson_23,seconds,grid_1,M_grid_1,grid_2,M_grid_2,grid_3,M_grid_3,E1_extrapolated,E2_extrapolated,E3_extrapolated,E4_extrapolated,E5_extrapolated,E6_extrapolated,E7_extrapolated,E8_extrapolated,E9_extrapolated,iteration,role
31000000000000000000000000,100000000,0.9999379989323083,6.200106769171931e-05,0.5895748231268954,-15627.100547790527,0.9999398181662478,0.9999384537407932,8.794254400010686,65536,0.999943356662292,131072,0.9999415874142699,262144,0.9999400205775315,3.833873325909391,7.248168629539234,8.940165650856137,7.944099708864469,5.316927189794228,2.7484979520562507,1.1170853748802432,0.3621819482839165,0.09483469623617581,0,lo
33500000000000000000000000,100000000,1.00005834450061,-5.834450060993035e-05,0.2236680274072568,6620.179934183761,1.0000575738102324,1.0000581518280156,8.877794199972413,65536,1.0000632987846154,131072,1.000060436297424,262144,1.0000592940627198,3.8351938077075958,7.2532320613188075,8.94973958895161,7.955896656314006,5.327378051159982,2.755454526828763,1.1206530356107187,0.36361713309065147,0.09529423862293032,0,hi
32287979868446665696346112,100000000,1.000001837181981,-1.8371819809903656e-06,0.20992210679105475,8530.893419901535,1.0000008440552781,1.0000015889003053,8.719829399953596,65536,1.000007026592534,131072,1.000003935323906,262144,1.0000027621121057,3.8345666216387246,7.250826877872373,8.945191530596198,7.950294034562199,5.322418746669946,2.7521581977939484,1.118966173218129,0.362940542426523,0.09507841771402895,0,mid
31000000000000000000000000,100000000,0.9999379989323083,6.200106769171931e-05,0.5895748231268954,-15627.100547790527,0.9999398181662478,0.9999384537407932,8.794254400010686,65536,0.999943356662292,131072,0.9999415874142699,262144,0.9999400205775315,3.833873325909391,7.248168629539234,8.940165650856137,7.944099708864469,5.316927189794228,2.7484979520562507,1.1170853748802432,0.3621819482839165,0.09483469623617581,1,lo
32287979868446665696346112,100000000,1.000001837181981,-1.8371819809903656e-06,0.20992210679105475,8530.893419901535,1.0000008440552781,1.0000015889003053,8.719829399953596,65536,1.000007026592534,131072,1.000003935323906,262144,1.0000027621121057,3.8345666216387246,7.250826877872373,8.945191530596198,7.950294034562199,5.322418746669946,2.7521581977939484,1.118966173218129,0.362940542426523,0.09507841771402895,1,hi
32250913479278413414924288,100000000,0.999999809080629,1.9091937097925893e-07,0.28239156136987725,5258.179087320968,0.9999991969480184,0.9999996560474764,8.55616460001329,65536,1.0000053422991184,131072,1.0000022696235684,262144,1.0000009628355224,3.8345470654942115,7.250751888724587,8.945049665163506,7.950117839270002,5.32225979580196,2.7520495105032468,1.1189086147957719,0.36291659230871526,0.09507049863173132,1,mid
32250913479278413414924288,100000000,0.999999809080629,1.9091937097925893e-07,0.28239156136987725,5258.179087320968,0.9999991969480184,0.9999996560474764,8.55616460001329,65536,1.0000053422991184,131072,1.0000022696235684,262144,1.0000009628355224,3.8345470654942115,7.250751888724587,8.945049665163506,7.950117839270002,5.32225979580196,2.7520495105032468,1.1189086147957719,0.36291659230871526,0.09507049863173132,2,lo
32287979868446665696346112,100000000,1.000001837181981,-1.8371819809903656e-06,0.20992210679105475,8530.893419901535,1.0000008440552781,1.0000015889003053,8.719829399953596,65536,1.000007026592534,131072,1.000003935323906,262144,1.0000027621121057,3.8345666216387246,7.250826877872373,8.945191530596198,7.950294034562199,5.322418746669946,2.7521581977939484,1.118966173218129,0.362940542426523,0.09507841771402895,2,hi
32254402797846049035649024,100000000,0.9999999771316894,2.286831057851657e-08,0.28018709536991077,5401.00221506755,0.9999993483722784,0.9999998199418367,8.5961770999711,65536,1.000005509966298,131072,1.0000024291692882,262144,1.0000011245555624,3.8345489074253374,7.250758951697884,8.945063021828004,7.9501342966576765,5.322274371088571,2.7520592086039875,1.1189135868547204,0.3629185922616924,0.09507113915629853,2,mid
32254402797846049035649024,100000000,0.9999999771316894,2.286831057851657e-08,0.28018709536991077,5401.00221506755,0.9999993483722784,0.9999998199418367,8.5961770999711,65536,1.000005509966298,131072,1.0000024291692882,262144,1.0000011245555624,3.8345489074253374,7.250758951697884,8.945063021828004,7.9501342966576765,5.322274371088571,2.7520592086039875,1.1189135868547204,0.3629185922616924,0.09507113915629853,3,lo
32287979868446665696346112,100000000,1.000001837181981,-1.8371819809903656e-06,0.20992210679105475,8530.893419901535,1.0000008440552781,1.0000015889003053,8.719829399953596,65536,1.000007026592534,131072,1.000003935323906,262144,1.0000027621121057,3.8345666216387246,7.250826877872373,8.945191530596198,7.950294034562199,5.322418746669946,2.7521581977939484,1.118966173218129,0.362940542426523,0.09507841771402895,3,hi
32254815609737369006112768,100000000,0.9999999944224778,5.577522221855702e-09,0.2805414116010068,5404.253880818695,0.9999993652845229,0.999999837137989,8.664933899999596,65536,1.0000055334206102,131072,1.0000024493525665,262144,1.0000011432452778,3.834549125325813,7.250759787247943,8.945064600598496,7.950136228645121,5.322276055838261,2.75206030297655,1.1189141306672044,0.3629188030784721,0.09507120394079027,3,mid
