n,cutoff,M_extrapolated,margin_1_minus_M,fit_a_over_G,fit_b_over_G2,richardson_12,richardson_23,seconds,grid_1,M_grid_1,grid_2,M_grid_2,grid_3,M_grid_3,E1_extrapolated,E2_extrapolated,E3_extrapolated,E4_extrapolated,E5_extrapolated,E6_extrapolated,E7_extrapolated,iteration,role
39000000000000,100000000,0.9998588805822952,0.00014111941770478253,0.7954025439685211,-80672.61763509113,0.9998594675528417,0.9998590273249318,12.746349300025031,262144,0.9998607408611117,524288,0.9998601042069767,1048576,0.9998595657659543,3.204946250865055,5.034716525446451,5.098942511565984,3.6144100244375257,1.8425686061447537,0.6837697970607751,0.18629785895125445,0,lo
41000000000000,100000000,1.0001339366509925,-0.0001339366509924833,0.2357310779625549,25275.17606608075,1.0001337527498828,1.0001338906757151,12.822484300006181,262144,1.0001352036959106,524288,1.0001344782228967,1048576,1.000134184449306,3.2065430289339267,5.039835388181841,5.106983382590822,3.6225164695217873,1.8482444406123455,0.6866015671690636,0.1873165093865909,0,hi
40026113827433,100000000,1.0000016615680811,-1.661568081123832e-06,0.391334052197635,22738.744222005247,1.000001496121942,1.0000016202065463,12.801987699989695,262144,1.0000034852812982,524288,1.00000249070162,1048576,1.0000020554540832,3.2057757768813326,5.037375455799022,5.103118727014546,3.618619735438094,1.8455156284767669,0.6852398468473421,0.1868265672798932,0,mid
39000000000000,100000000,0.9998588805822952,0.00014111941770478253,0.7954025439685211,-80672.61763509113,0.9998594675528417,0.9998590273249318,12.746349300025031,262144,0.9998607408611117,524288,0.9998601042069767,1048576,0.9998595657659543,3.204946250865055,5.034716525446451,5.098942511565984,3.6144100244375257,1.8425686061447537,0.6837697970607751,0.18629785895125445,1,lo
40026113827433,100000000,1.0000016615680811,-1.661568081123832e-06,0.391334052197635,22738.744222005247,1.000001496121942,1.0000016202065463,12.801987699989695,262144,1.0000034852812982,524288,1.00000249070162,1048576,1.0000020554540832,3.2057757768813326,5.037375455799022,5.103118727014546,3.618619735438094,1.8455156284767669,0.6852398468473421,0.1868265672798932,1,hi
40014172755771,100000000,1.0000000274672316,-2.7467231600297737e-08,0.4766551374923438,1776.215087890625,1.000000014543566,1.0000000242363152,12.714627399982419,262144,1.0000018716096126,524288,1.0000009430765893,1048576,1.0000004836564522,3.205766250294891,5.037344915744344,5.1030707225661684,3.6185712401366636,1.8454815737552104,0.6852228195734333,0.18682045630540292,1,mid
39000000000000,100000000,0.9998588805822952,0.00014111941770478253,0.7954025439685211,-80672.61763509113,0.9998594675528417,0.9998590273249318,12.746349300025031,262144,0.9998607408611117,524288,0.9998601042069767,1048576,0.9998595657659543,3.204946250865055,5.034716525446451,5.098942511565984,3.6144100244375257,1.8425686061447537,0.6837697970607751,0.18629785895125445,2,lo
40014172755771,100000000,1.0000000274672316,-2.7467231600297737e-08,0.4766551374923438,1776.215087890625,1.000000014543566,1.0000000242363152,12.714627399982419,262144,1.0000018716096126,524288,1.0000009430765893,1048576,1.0000004836564522,3.205766250294891,5.037344915744344,5.1030707225661684,3.6185712401366636,1.8454815737552104,0.6852228195734333,0.18682045630540292,2,hi
40013975397409,100000000,0.9999999996427407,3.572593332279439e-10,0.4799189836485311,1159.5688883463736,0.9999999912057667,0.9999999975334972,12.834666299982928,262144,1.0000018472623236,524288,1.000000919234045,1048576,1.0000004583837712,3.2057660928177754,5.037344410909537,5.103069927790326,3.6185704341925056,1.8454810047561463,0.6852225333044945,0.18682035268502956,2,mid
40013975397409,100000000,0.9999999996427407,3.572593332279439e-10,0.4799189836485311,1159.5688883463736,0.9999999912057667,0.9999999975334972,12.834666299982928,262144,1.0000018472623236,524288,1.000000919234045,1048576,1.0000004583837712,3.2057660928177754,5.037344410909537,5.103069927790326,3.6185704341925056,1.8454810047561463,0.6852225333044945,0.18682035268502956,3,lo
