max_R,min_certificate,worst_start,fail_windows,R_median,R_q90,R_q99,R_q999,model,trial,seed
109.47231741115694,-89.2,979412,22805,-0.72768258884307,8.138984077823597,33.00565074449026,87.5389840778236,uniform,1,13429448149543749704
177.67231741115694,-157.4,103865,19100,-1.1276825888430686,8.205650744490264,25.405650744490263,93.60565074449026,uniform,2,654489455647505135
285.53898407782356,-265.26666666666665,738247,17416,-0.9276825888430693,7.5389840778235975,25.27231741115693,81.60565074449026,uniform,3,6618614526801382215
98.3389840778236,-78.06666666666666,575694,20756,-0.9943492555097357,8.27231741115693,27.405650744490263,89.1389840778236,uniform,4,16383558136999202022
81.47231741115694,-61.2,679958,18030,-0.7943492555097365,8.005650744490262,25.872317411156928,48.5389840778236,uniform,5,11972638422273130425
120.7389840778236,-100.46666666666667,662698,18474,-0.8610159221764029,8.07231741115693,25.605650744490262,84.29838407781993,uniform,6,9422953212362058280
175.9389840778236,-155.66666666666666,410631,19463,-0.9276825888430693,8.138984077823597,27.605650744490262,92.67231741115694,uniform,7,14313603868592645910
176.60565074449028,-156.33333333333334,412571,22311,-0.7943492555097365,8.138984077823597,28.5389840778236,87.1389840778236,uniform,8,6063938839846445032
94.00565074449027,-73.73333333333333,539336,20440,-0.9276825888430693,7.938984077823596,26.138984077823597,57.338984077823596,uniform,9,2174959700052425482
173.5389840778236,-153.26666666666668,14323,21329,-0.9276825888430693,8.338984077823596,28.205650744490264,61.205650744490256,uniform,10,14048621895664392185
174.87231741115693,-154.6,387762,19080,-0.8610159221764029,7.938984077823596,25.872317411156928,82.40565074449026,uniform,11,1242139564026159251
95.3389840778236,-75.06666666666666,621174,18482,-0.8610159221764029,8.005650744490262,25.47231741115693,50.805650744490265,uniform,12,8707273500827646467
101.3389840778236,-81.06666666666666,350838,18993,-0.7943492555097365,8.205650744490264,25.27231741115693,88.7389840778236,uniform,13,14075945122134914314
95.80565074449026,-75.53333333333333,489901,14908,-0.9276825888430693,7.5389840778235975,22.805650744490265,58.93898407782359,uniform,14,16601869682840745810
94.9389840778236,-74.66666666666667,395275,17803,-0.7943492555097365,8.205650744490264,23.805650744490265,54.29838407781993,uniform,15,6125273720180884520
101.5389840778236,-81.26666666666667,338675,22143,-0.8610159221764029,8.005650744490262,30.138984077823597,87.67231741115694,uniform,16,17650198933150359458
