n,cutoff,M_extrapolated,margin_1_minus_M,fit_a_over_G,fit_b_over_G2,richardson_12,richardson_23,seconds,grid_1,M_grid_1,grid_2,M_grid_2,grid_3,M_grid_3,E1_extrapolated,E2_extrapolated,E3_extrapolated,E4_extrapolated,E5_extrapolated,E6_extrapolated,E7_extrapolated,E8_extrapolated,E9_extrapolated,iteration,role
32000000000000000000000000,100000000,0.9999876270891535,1.2372910846547569e-05,0.364045528200222,-5535.304356892884,0.999987788187713,0.9999876673637933,17.251327000034507,131072,0.9999900823389963,262144,0.9999889352633546,524288,0.999988301313574,3.8344140799479955,7.250241958231178,8.944085517227018,7.9489303134598215,5.32120871937912,2.7513506469164875,1.1185504678493199,0.36277244178600954,0.09502420307919755,0,lo
32500000000000000000000000,100000000,1.000011985876685,-1.1985876684939e-05,0.045370876498054526,32483.194163004577,1.0000110404913094,1.000011749530341,16.64970250002807,131072,1.0000142227997533,262144,1.0000126316455313,524288,1.0000121905879362,3.834678046010194,7.251254148255743,8.945999409133266,7.951289572899174,5.323300980117561,2.7527458314524793,1.1192677689099508,0.36306190869330207,0.0951172430064123,0,hi
32253972223177243691581440,100000000,0.999999651816531,3.481834689456065e-07,0.40064261114457617,-5125.749766031891,0.9999998009954831,0.999999689111269,16.589216199994553,131072,1.0000024101191731,262144,1.0000011055573281,524288,1.0000003973342986,3.83454868014578,7.250758080183336,8.945061393059591,7.950132519137556,5.32227299650033,2.752058015407001,1.118912265723947,0.3629173377816077,0.09507026889638404,0,mid
32253972223177243691581440,100000000,0.999999651816531,3.481834689456065e-07,0.40064261114457617,-5125.749766031891,0.9999998009954831,0.999999689111269,16.589216199994553,131072,1.0000024101191731,262144,1.0000011055573281,524288,1.0000003973342986,3.83454868014578,7.250758080183336,8.945061393059591,7.950132519137556,5.32227299650033,2.752058015407001,1.118912265723947,0.3629173377816077,0.09507026889638404,1,lo
32500000000000000000000000,100000000,1.000011985876685,-1.1985876684939e-05,0.045370876498054526,32483.194163004577,1.0000110404913094,1.000011749530341,16.64970250002807,131072,1.0000142227997533,262144,1.0000126316455313,524288,1.0000121905879362,3.834678046010194,7.251254148255743,8.945999409133266,7.951289572899174,5.323300980117561,2.7527458314524793,1.1192677689099508,0.36306190869330207,0.0951172430064123,1,hi
32260917446706428075048960,100000000,0.9999999381078828,6.189211720908361e-08,0.4222102594794704,-7455.491963704408,1.000000155091257,0.9999999923537264,18.29805999994278,131072,1.0000027253497794,262144,1.0000014402205182,524288,1.0000007162871223,3.8345523458164807,7.250772136382802,8.94508795322402,7.950165011225959,5.32230130195088,2.752076366634064,1.1189213574835721,0.36292084743901365,0.0950713413147673,1,mid
32260917446706428075048960,100000000,0.9999999381078828,6.189211720908361e-08,0.4222102594794704,-7455.491963704408,1.000000155091257,0.9999999923537264,18.29805999994278,131072,1.0000027253497794,262144,1.0000014402205182,524288,1.0000007162871223,3.8345523458164807,7.250772136382802,8.94508795322402,7.950165011225959,5.32230130195088,2.752076366634064,1.1189213574835721,0.36292084743901365,0.0950713413147673,2,lo
32500000000000000000000000,100000000,1.000011985876685,-1.1985876684939e-05,0.045370876498054526,32483.194163004577,1.0000110404913094,1.000011749530341,16.64970250002807,131072,1.0000142227997533,262144,1.0000126316455313,524288,1.0000121905879362,3.834678046010194,7.251254148255743,8.945999409133266,7.951289572899174,5.323300980117561,2.7527458314524793,1.1192677689099508,0.36306190869330207,0.0951172430064123,2,hi
32262145667935941680955392,100000000,0.9999999965917858,3.408214155342648e-09,0.42046023637521995,-7278.765096028626,1.0000002084317312,1.0000000495517722,17.633637299994007,131072,1.0000027807689233,262144,1.0000014946003273,524288,1.0000007720760498,3.83455299398491,7.250774621818779,8.945092653434864,7.95017080083198,5.322306425077866,2.752079770333104,1.118923098709509,0.36292154583605596,0.0950715642045555,2,mid
32262145667935941680955392,100000000,0.9999999965917858,3.408214155342648e-09,0.42046023637521995,-7278.765096028626,1.0000002084317312,1.0000000495517722,17.633637299994007,131072,1.0000027807689233,262144,1.0000014946003273,524288,1.0000007720760498,3.83455299398491,7.250774621818779,8.945092653434864,7.95017080083198,5.322306425077866,2.752079770333104,1.118923098709509,0.36292154583605596,0.0950715642045555,3,lo
32500000000000000000000000,100000000,1.000011985876685,-1.1985876684939e-05,0.045370876498054526,32483.194163004577,1.0000110404913094,1.000011749530341,16.64970250002807,131072,1.0000142227997533,262144,1.0000126316455313,524288,1.0000121905879362,3.834678046010194,7.251254148255743,8.945999409133266,7.951289572899174,5.323300980117561,2.7527458314524793,1.1192677689099508,0.36306190869330207,0.0951172430064123,3,hi
32262213283186417059495936,100000000,0.9999999995132849,4.867151126575209e-10,0.42078342119930306,-7269.619944254548,1.0000002110870712,1.0000000524067314,19.77210569998715,131072,1.0000027866884447,262144,1.000001498887758,524288,1.0000007756472447,3.83455302966669,7.2507747586424545,8.945092912046192,7.95017111788259,5.322306702622685,2.7520799516605705,1.118923189472576,0.3629215813186365,0.09507157520939435,3,mid
32000000000000000000000000,200000000,0.9999875470311704,1.2452968829568256e-05,0.36404869586112903,-5535.731165568024,0.9999877081421518,0.9999875873089158,19.63508009997895,131072,0.9999900022803372,262144,0.9999888552112445,524288,0.9999882212600801,3.834412786075746,7.250236996990049,8.944076180813843,7.948919084857926,5.321199255453808,2.7513447962462263,1.1185477354086275,0.3627714558211069,0.09502392319445388,0,lo
32500000000000000000000000,200000000,1.000011905760431,-1.190576043108571e-05,0.04537507129134603,32482.651845296234,1.000010960390839,1.000011669418033,18.239215799956582,131072,1.000014142683936,262144,1.0000125515373874,524288,1.0000121104777102,3.834676752137951,7.251249186673095,8.945990071387511,7.951278341708251,5.323291512978448,2.7527399780107578,1.1192650347348476,0.3630609219161136,0.0951169628298895,0,hi
