cutoff,iteration,n,grid_lo,grid_hi,M_grid_lo,M_grid_hi,M_richardson,richardson_margin
200000000,0,112804773985,262144,524288,0.9999982607472802,0.9999979837864121,0.9999977068255441,2.293174455880731e-06
200000000,0,200000000000,262144,524288,1.0028189473725102,1.0028185365229612,1.002818125673412,-0.0028181256734121085
200000000,0,112875669081,262144,524288,1.000001394924829,1.0000010556549648,1.0000007163851006,-7.163851005742572e-07
200000000,1,112804773985,262144,524288,0.9999982607472802,0.9999979837864121,0.9999977068255441,2.293174455880731e-06
200000000,1,112875669081,262144,524288,1.000001394924829,1.0000010556549648,1.0000007163851006,-7.163851005742572e-07
200000000,1,112858793459,262144,524288,1.0000005957868296,1.000000300535342,1.0000000052838542,-5.283854243032238e-09
200000000,2,112804773985,262144,524288,0.9999982607472802,0.9999979837864121,0.9999977068255441,2.293174455880731e-06
200000000,2,112858793459,262144,524288,1.0000005957868296,1.000000300535342,1.0000000052838542,-5.283854243032238e-09
200000000,2,112858669275,262144,524288,1.0000005910603584,1.0000002957899912,1.000000000519624,-5.196238994642499e-10
200000000,3,112804773985,262144,524288,0.9999982607472802,0.9999979837864121,0.9999977068255441,2.293174455880731e-06
200000000,3,112858669275,262144,524288,1.0000005910603584,1.0000002957899912,1.000000000519624,-5.196238994642499e-10
200000000,3,112858657065,262144,524288,1.0000005904787117,1.0000002951854023,0.999999999892093,1.0790701665541746e-10
400000000,0,112804773985,262144,524288,0.9999982571666969,0.999997980206195,0.9999977032456931,2.2967543068519447e-06
400000000,0,200000000000,262144,524288,1.0028189437203765,1.0028185328718107,1.0028181220232448,-0.002818122023244829
400000000,0,112875779756,262144,524288,1.000001396054893,1.0000010577630136,1.0000007194711342,-7.194711342251026e-07
400000000,1,112804773985,262144,524288,0.9999982571666969,0.999997980206195,0.9999977032456931,2.2967543068519447e-06
400000000,1,112875779756,262144,524288,1.000001396054893,1.0000010577630136,1.0000007194711342,-7.194711342251026e-07
400000000,1,112858842493,262144,524288,1.000000594197875,1.0000002995733746,1.0000000049488742,-4.948874199328657e-09
400000000,2,112804773985,262144,524288,0.9999982571666969,0.999997980206195,0.9999977032456931,2.2967543068519447e-06
400000000,2,112858842493,262144,524288,1.000000594197875,1.0000002995733746,1.0000000049488742,-4.948874199328657e-09
400000000,2,112858726241,262144,524288,1.0000005895582036,1.0000002943023192,0.9999999990464348,9.535652267800288e-10
400000000,3,112858726241,262144,524288,1.0000005895582036,1.0000002943023192,0.9999999990464348,9.535652267800288e-10
400000000,3,112858842493,262144,524288,1.000000594197875,1.0000002995733746,1.0000000049488742,-4.948874199328657e-09
400000000,3,112858745022,262144,524288,1.0000005902475535,1.0000002950275473,0.9999999998075411,1.9245893767561029e-10
