model,trial,seed,worst_start,max_R,min_certificate,fail_windows,total_actual_weighted_mass,impossible_product_weighted_mass,impossible_product_intersections
genuine,0,0,449021,19.538984077823596,0.7333333333333333,0,390.2666666666827,0.0,0
uniform,1,13429448149543749704,979412,109.47231741115694,-89.2,22805,480.20000000001676,63.93333333333409,833
uniform,2,654489455647505135,103865,177.67231741115694,-157.4,19100,548.4000000000058,58.26666666666651,550
uniform,3,6618614526801382215,738247,285.53898407782356,-265.26666666666665,17416,656.2666666666664,288.5333333333252,1966
uniform,4,16383558136999202022,575694,98.3389840778236,-78.06666666666666,20756,469.0666666666835,79.00000000000036,692
uniform,5,11972638422273130425,679958,81.47231741115694,-61.2,18030,452.20000000002153,79.60000000000244,1125
uniform,6,9422953212362058280,662698,120.7389840778236,-100.46666666666667,18474,491.466666666679,121.00000000000162,832
uniform,7,14313603868592645910,410631,175.9389840778236,-155.66666666666666,19463,546.6666666666837,161.40000000000262,1369
uniform,8,6063938839846445032,412571,176.60565074449028,-156.33333333333334,22311,547.3333333333499,155.60000000000204,1388
uniform,9,2174959700052425482,539336,94.00565074449027,-73.73333333333333,20440,464.73333333334926,89.46666666666697,715
uniform,10,14048621895664392185,14323,173.5389840778236,-153.26666666666668,21329,544.2666666666775,64.93333333333307,381
uniform,11,1242139564026159251,387762,174.87231741115693,-154.6,19080,545.6000000000165,168.26666666666762,1671
uniform,12,8707273500827646467,621174,95.3389840778236,-75.06666666666666,18482,466.06666666668764,98.86666666666908,1194
uniform,13,14075945122134914314,350838,101.3389840778236,-81.06666666666666,18993,472.06666666668247,94.66666666666937,1089
uniform,14,16601869682840745810,489901,95.80565074449026,-75.53333333333333,14908,466.533333333347,88.0666666666664,610
uniform,15,6125273720180884520,395275,94.9389840778236,-74.66666666666667,17803,465.66666666668476,9.533333333333289,170
uniform,16,17650198933150359458,338675,101.5389840778236,-81.26666666666667,22143,472.2666666666764,97.06666666666753,721
uniform,17,17052203730736473688,15852,100.5389840778236,-80.26666666666667,24583,471.26666666668194,56.666666666666465,401
uniform,18,8057768030829828420,962306,101.40565074449027,-81.13333333333334,20052,472.1333333333508,41.199999999999974,398
