n,X_exclusive,odd_prime_count,grid,E1_geom,E2_geom,E3_geom,E4_geom,E5_geom,e1_unrestricted,e2_unrestricted,e3_unrestricted,e4_unrestricted,e5_unrestricted,M53_geom,M53_unrestricted,geom_margin_1_minus_M,unrestricted_margin_1_minus_M,removed_high_product_mass,sieve_seconds,fft_seconds,total_seconds
1000000,1000002000001,78497,131072,2.387328099567673,2.7485440513600112,1.9664026749355292,0.8900143116984816,0.2441760167049259,2.387328099567673,2.7485440513600112,2.0428694329614823,1.1063551128570999,0.4669495318167864,0.9425258767959723,0.9481526408921841,0.05747412320402767,0.051847359107815905,0.005626764096211767,0.2020105900000999,3.5975798019999274,3.800047005000124
10000000,100000020000001,664578,131072,2.5414493812797105,3.1283587717130072,2.4176574227073435,1.217508030355739,0.3913033255069742,2.5414493812797105,3.1283587717130072,2.495442179484891,1.455328399988976,0.663458711845003,0.9557034228023267,0.965957468557099,0.044296577197673326,0.034042531442901036,0.01025404575477229,0.44054746799974964,3.3142219270002897,3.755058018999989
100000000,10000000200000001,5761454,131072,2.6749752299205247,3.4766225305817287,2.857604052642245,1.5621027581729763,0.5642782088693717,2.6749752299205247,3.4766225305817287,2.9362116516149026,1.8174440475347065,0.8813037439568413,0.9670418582107123,0.9823983421342901,0.03295814178928769,0.017601657865709885,0.015356483923577802,1.8433119380006247,3.5371131160000004,5.380617282999992
1000000000,1000000002000000001,50847533,131072,2.7927557187989716,3.798618542444709,3.285365264191997,1.9180862847421691,0.7587316135775033,2.7927557187989716,3.798618542444709,3.364516219481502,2.1881232172290686,1.116697481263968,0.977729390884707,0.9983499515196594,0.022270609115292994,0.0016500484803405602,0.020620560634952434,14.166276435000327,3.5156194379997032,17.682235015000515
