n,M,main_margin,max_R,min_certificate,fail_windows,total_windows,max_depth,R_median,R_q99
995000,0.9481115968570404,20.28836562889721,17.621698962230543,2.6666666666666665,0,994610,9,-0.24496770443612448,10.221698962230544
995250,0.9481131967622746,20.287740065950643,20.15440673261731,0.13333333333333333,0,994860,9,-0.1789266007160215,10.15440673261731
995500,0.9481152532817997,20.286935966816323,19.220269300149656,1.0666666666666667,0,995110,9,-0.37973069985034513,10.220269300149656
995750,0.9481177661842144,20.28595342197217,19.28595342197217,1.0,0,995360,8,-0.24737991136116477,10.752620088638837
996000,0.9481194790519525,20.28528369068658,22.48528369068658,-2.2,77,995610,9,-0.31471630931342176,10.351950357353246
996250,0.9481215340354785,20.28448019212791,21.484480192127908,-1.2,15,995860,9,-0.18218647453875647,10.217813525461242
996500,0.9481234744203029,20.283721501661578,15.61705483499491,4.666666666666667,0,996110,9,-0.3162784983384235,10.150388168328245
996750,0.9481254142946786,20.282963010780684,18.882963010780685,1.4,0,996360,9,-0.18370365588598148,10.216296344114017
997000,0.9481273536620822,20.282204718125847,19.01553805145918,1.2666666666666666,0,996610,9,-0.2511286152074881,10.41553805145918
997250,0.9481303190596365,20.281045247682123,21.214378581015456,-0.9333333333333333,9,996860,9,-0.2522880856512124,10.014378581015455
997500,0.9481324855512158,20.280198149474636,20.81353148280797,-0.5333333333333333,3,997110,9,-0.3864685171920321,10.21353148280797
997750,0.9481347654399848,20.27930671296596,18.679306712965957,1.6,0,997360,9,-0.25402662036737667,10.145973379632625
998000,0.9481368168422615,20.278504614675764,18.611837948009097,1.6666666666666667,0,997610,9,-0.32149538532423705,10.278504614675764
998250,0.9481389816672153,20.277658168118805,19.34432483478547,0.9333333333333333,0,997860,9,-0.18900849854786017,10.410991501452138
998500,0.9481408042158814,20.276945551590362,18.14361221825703,2.1333333333333333,0,998110,9,-0.2563877817429727,10.343612218257029
998750,0.9481429679462947,20.276099532998767,20.342766199665434,-0.06666666666666667,2,998360,9,-0.2572338003345678,10.476099532998767
999000,0.9481452449770815,20.275209213961123,16.14187588062779,4.133333333333334,0,998610,9,-0.25812411937221214,10.275209213961123
999250,0.948147293826228,20.27440811394486,19.47440811394486,0.8,0,998860,9,-0.4589252193884725,10.207741447278195
999500,0.9481490007584702,20.273740703438154,19.14040737010482,1.1333333333333333,0,999110,9,-0.3262592965618474,10.407074036771487
999750,0.9481509348142703,20.272984487620327,17.539651154286993,2.7333333333333334,0,999360,9,-0.3270155123796741,10.206317820953661
1000000,0.9481526408921818,20.27231741115693,19.538984077823596,0.7333333333333333,0,999610,9,-0.261015922176405,10.07231741115693
1000250,0.948154915088778,20.27142820028779,17.338094866954457,2.933333333333333,0,999860,9,-0.3285717997122113,10.27142820028779
1000500,0.948157075091966,20.27058363904129,20.47058363904129,-0.2,5,1000110,9,-0.19608302762537377,10.337250305707958
1000750,0.9481592345401055,20.269739294818738,19.736405961485403,0.5333333333333333,0,1000360,9,-0.3302607051812636,10.203072628152071
1001000,0.9481611661748458,20.26898402563529,16.93565069230196,3.3333333333333335,0,1000610,9,-0.39768264103137696,10.268984025635291
1001250,0.9481634381741002,20.26809567392682,16.734762340593484,3.533333333333333,0,1000860,9,-0.19857099273984602,10.201429007260153
1001500,0.9481658231670717,20.267163141674985,19.267163141674985,1.0,0,1001110,9,-0.2661701916583503,10.533829808341652
1001750,0.9481679804857819,20.266319630059286,17.332986296725952,2.933333333333333,0,1001360,9,-0.3336803699407156,10.19965296339262
1002000,0.9481699101993917,20.265565112037855,16.53223177870452,3.7333333333333334,0,1001610,9,-0.26776822129547995,10.265565112037855
1002250,0.9481719529397057,20.264766400575077,21.931433067241745,-1.6666666666666667,88,1001860,9,-0.46856693275825734,10.19809973390841
1002500,0.9481743355452181,20.263834801819712,16.13050146848638,4.133333333333334,0,1002110,9,-0.2694985315136229,10.13050146848638
1002750,0.9481764907300481,20.262992124551207,20.129658791217874,0.13333333333333333,0,1002360,9,-0.20367454211545777,9.99632545788454
1003000,0.9481790990129326,20.261972285943344,16.92863895261001,3.3333333333333335,0,1002610,9,-0.4713610473899905,9.995305619276676
1003250,0.9481810263964621,20.261218678983333,15.594552012316665,4.666666666666667,0,1002860,9,-0.2721146543500019,9.994552012316666
1003500,0.9481831799862556,20.260376625374075,18.72704329204074,1.5333333333333334,0,1003110,9,-0.20629004129258988,10.327043292040742
1003750,0.9481852196751274,20.2595791070252,18.126245773691867,2.1333333333333333,0,1003360,9,-0.2737542263081352,9.992912440358532
1004000,0.9481872589095458,20.25878176636759,18.725448433034256,1.5333333333333334,0,1003610,9,-0.27455156696574434,10.25878176636759
1004250,0.9481890710986933,20.25807320041091,17.658073200410907,2.6,0,1003860,9,-0.20859346625575625,9.991406533744241
1004500,0.9481909960580903,20.257320541286685,17.457320541286684,2.8,0,1004110,9,-0.2760127920466502,9.92398720795335
1004750,0.9481931469162266,20.256479555755405,18.389812889088738,1.8666666666666667,0,1004360,9,-0.27685377757793006,10.056479555755406
1005000,0.948194391838284,20.25599279123095,18.322659457897615,1.9333333333333333,0,1004610,9,-0.2773405421023867,9.855992791230948
