n,K,event,old_best_r,new_best_r,best_ratio,best_margin,exact_holes,max_depth
109613,5,best_r_change,2,3,0.932494625029,7399.46666667,9441,8
109614,5,best_r_change,3,2,0.931641943547,7493,9477,8
109616,5,best_r_change,2,3,0.932765897922,7369.93333333,9422,8
109617,5,best_r_change,3,2,0.933623434321,7276,9317,8
109620,5,best_r_change,2,3,0.932330474974,7417.93333333,9452,8
109622,5,best_r_change,3,2,0.931783766032,7478,9485,8
109624,5,best_r_change,2,3,0.931668247829,7490.8,9522,8
109626,5,best_r_change,3,2,0.93112035466,7551,9515,8
109627,5,best_r_change,2,3,0.932309254715,7420.73333333,9470,8
109628,5,best_r_change,3,2,0.931486481556,7511,9545,8
109630,5,best_r_change,2,3,0.932065432211,7447.66666667,9492,8
109632,5,best_r_change,3,2,0.932145723876,7439,9466,7
109636,5,best_r_change,2,3,0.932897953227,7356.8,9410,8
109638,5,best_r_change,3,2,0.932167679089,7437,9432,7
109639,5,best_r_change,2,3,0.932166473609,7437.2,9484,8
109641,5,best_r_change,3,2,0.933026878631,7343,9348,8
109642,5,best_r_change,2,3,0.932244942631,7428.8,9473,8
109643,5,best_r_change,3,2,0.932827449085,7365,9386,8
109645,5,best_r_change,2,3,0.932117895633,7442.93333333,9462,8
109648,5,best_r_change,3,2,0.932018823873,7454,9490,9
109651,5,best_r_change,2,3,0.932603137834,7390.13333333,9437,7
109654,5,best_r_change,3,2,0.931758075401,7483,9498,8
109656,5,best_r_change,2,3,0.931756280246,7483.33333333,9527,8
109658,5,best_r_change,3,2,0.931559940907,7505,9524,8
109660,5,best_r_change,2,3,0.93247127485,7405.2,9437,8
109663,5,best_r_change,3,2,0.932474945971,7405,9446,8
109665,5,best_r_change,2,3,0.933081049864,7338.66666667,9384,8
109666,5,best_r_change,3,2,0.932640927908,7387,9405,8
109667,5,best_r_change,2,3,0.932407500281,7412.66666667,9453,8
109668,5,best_r_change,3,2,0.931502352555,7512,9520,8
109671,5,best_r_change,2,3,0.932051925,7451.93333333,9486,8
109672,5,best_r_change,3,2,0.933291997958,7316,9357,8
109674,5,best_r_change,2,3,0.931618554382,7499.66666667,9536,8
109676,5,best_r_change,3,2,0.932127356942,7444,9439,8
109677,5,best_r_change,2,3,0.932406369005,7413.46666667,9452,8
109680,5,best_r_change,3,2,0.933087162655,7339,9368,8
109681,5,best_r_change,2,3,0.931666074039,7494.93333333,9540,8
109682,5,best_r_change,3,2,0.93245017414,7409,9435,8
109684,5,best_r_change,2,3,0.932794816625,7371.33333333,9421,8
109685,5,best_r_change,3,2,0.932014404887,7457,9497,8
109686,5,best_r_change,2,3,0.932810629129,7369.73333333,9422,8
109688,5,best_r_change,3,2,0.931660710379,7496,9511,8
109689,5,best_r_change,2,3,0.93197555513,7461.53333333,9506,8
109691,5,best_r_change,3,2,0.932601580804,7393,9398,8
109693,5,best_r_change,2,3,0.933652405653,7277.86666667,9322,8
109696,5,best_r_change,3,2,0.931474256126,7517,9538,8
109699,5,best_r_change,2,3,0.932864170746,7364.73333333,9403,7
109701,5,best_r_change,3,2,0.93307262468,7342,9372,8
