window,start_index,odd_positions,start_value,end_value,exact_primes,max_depth,main_term_M,main_margin_N_times_1_minus_M,weighted_R,certificate_holes_lower_bound,odd_j_weighted_R,even_j_weighted_R,S1,S2,S3,S4,S5,main_j1,main_j2,main_j3,main_j4,main_j5,R_j1,R_j2,R_j3,R_j4,R_j5,weighted_R_j1,weighted_R_j2,weighted_R_j3,weighted_R_j4,weighted_R_j5
worst_passing,449021,391,1000000898043,1000000898823,17,9,0.9481526408921818,20.27231741115693,19.53898407782363,0.7333333333332988,21.41939879189501,-1.880414714071378,945.0,1070.0,803.0,443.0,202.0,933.4452869309645,1074.680724081768,798.761948287942,432.5848491271309,182.57726694036074,11.554713069035529,-4.6807240817679485,4.238051712057995,10.415150872869106,19.422733059639256,11.554713069035529,4.368675809650085,3.390441369646396,-6.249090523721463,6.474244353213085
worst_failing_L_minus_1,449026,390,1000000898053,1000000898831,16,9,0.9481526408921818,20.220470052049112,20.353803385382502,-0.1333333333333897,14.063338948437583,6.290464436944922,941.0,1061.0,794.0,438.0,201.0,931.0579588313967,1071.9321800304078,796.7190788549805,431.4784940142738,182.11031740854398,9.942041168603282,-10.932180030407835,-2.7190788549804665,6.521505985726208,18.889682591456022,9.942041168603282,10.203368028380646,-2.1752630839843734,-3.9129035914357244,6.296560863818674
median_passing,22,391,1000000000045,1000000000825,29,7,0.9481526408921818,20.27231741115693,-0.2610159221763677,20.533333333333296,48.95273212522835,-49.213748047404714,954.0,1131.0,852.0,427.0,140.0,933.4452869309645,1074.680724081768,798.761948287942,432.5848491271309,182.57726694036074,20.55471306903553,56.31927591823205,53.238051712057995,-5.584849127130894,-42.577266940360744,20.55471306903553,-52.56465752368325,42.5904413696464,3.3509094762785367,-14.19242231345358
